Country;Year;id;cluster
DNK;2002;265.0;cluster_1
DNK;2003;266.0;cluster_1
DNK;2000;267.0;cluster_1
DNK;2001;268.0;cluster_1
DNK;2006;269.0;cluster_1
DNK;2007;270.0;cluster_1
DNK;2004;271.0;cluster_1
DNK;2005;272.0;cluster_1
DNK;2008;273.0;cluster_1
DNK;2009;274.0;cluster_1
DNK;2011;275.0;cluster_4
DNK;2010;276.0;cluster_1
AUS;2002;277.0;cluster_1
AUS;2003;278.0;cluster_1
AUS;2000;279.0;cluster_1
AUS;2001;280.0;cluster_1
AUS;2006;281.0;cluster_1
AUS;2007;282.0;cluster_1
AUS;2004;283.0;cluster_1
AUS;2005;284.0;cluster_1
AUS;2008;285.0;cluster_1
AUS;2009;286.0;cluster_1
AUS;2011;287.0;cluster_1
AUS;2010;288.0;cluster_1
IRL;2002;289.0;cluster_1
IRL;2003;290.0;cluster_4
IRL;2000;291.0;cluster_1
IRL;2001;292.0;cluster_1
IRL;2006;293.0;cluster_4
IRL;2007;294.0;cluster_4
IRL;2004;295.0;cluster_1
IRL;2005;296.0;cluster_1
IRL;2008;297.0;cluster_4
IRL;2009;298.0;cluster_1
IRL;2011;299.0;cluster_4
IRL;2010;300.0;cluster_4
GRC;2002;301.0;cluster_1
GRC;2003;302.0;cluster_4
GRC;2000;303.0;cluster_1
GRC;2001;304.0;cluster_1
GRC;2006;305.0;cluster_4
GRC;2007;306.0;cluster_4
GRC;2004;307.0;cluster_4
GRC;2005;308.0;cluster_4
GRC;2008;309.0;cluster_4
GRC;2009;310.0;cluster_1
GRC;2011;311.0;cluster_1
GRC;2010;312.0;cluster_1
FIN;2002;313.0;cluster_4
FIN;2003;314.0;cluster_4
FIN;2000;315.0;cluster_4
FIN;2001;316.0;cluster_1
FIN;2006;317.0;cluster_4
FIN;2007;318.0;cluster_4
FIN;2004;319.0;cluster_4
FIN;2005;320.0;cluster_1
FIN;2008;321.0;cluster_4
FIN;2009;322.0;cluster_4
FIN;2011;323.0;cluster_4
FIN;2010;324.0;cluster_4
NZL;2002;325.0;cluster_4
NZL;2003;326.0;cluster_4
NZL;2000;327.0;cluster_1
NZL;2001;328.0;cluster_2
NZL;2006;329.0;cluster_1
NZL;2007;330.0;cluster_4
NZL;2004;331.0;cluster_1
NZL;2005;332.0;cluster_1
NZL;2008;333.0;cluster_4
NZL;2009;334.0;cluster_4
NZL;2011;335.0;cluster_4
NZL;2010;336.0;cluster_4
JPN;2002;337.0;cluster_2
JPN;2003;338.0;cluster_2
JPN;2000;339.0;cluster_2
JPN;2001;340.0;cluster_2
JPN;2006;341.0;cluster_2
JPN;2007;342.0;cluster_2
JPN;2004;343.0;cluster_2
JPN;2005;344.0;cluster_2
JPN;2008;345.0;cluster_2
JPN;2009;346.0;cluster_2
JPN;2011;347.0;cluster_2
JPN;2010;348.0;cluster_2
ITA;2002;349.0;cluster_2
ITA;2003;350.0;cluster_2
ITA;2000;351.0;cluster_2
ITA;2001;352.0;cluster_2
ITA;2006;353.0;cluster_2
ITA;2007;354.0;cluster_2
ITA;2004;355.0;cluster_2
ITA;2005;356.0;cluster_2
ITA;2008;357.0;cluster_2
ITA;2009;358.0;cluster_2
ITA;2011;359.0;cluster_2
ITA;2010;360.0;cluster_2
MEX;2002;361.0;cluster_0
MEX;2003;362.0;cluster_0
MEX;2000;363.0;cluster_0
MEX;2001;364.0;cluster_0
MEX;2006;365.0;cluster_0
MEX;2007;366.0;cluster_0
MEX;2004;367.0;cluster_0
MEX;2005;368.0;cluster_0
MEX;2008;369.0;cluster_0
MEX;2009;370.0;cluster_0
MEX;2011;371.0;cluster_0
MEX;2010;372.0;cluster_0
NOR;2002;373.0;cluster_4
NOR;2003;374.0;cluster_1
NOR;2000;375.0;cluster_1
NOR;2001;376.0;cluster_1
NOR;2006;377.0;cluster_4
NOR;2007;378.0;cluster_4
NOR;2004;379.0;cluster_4
NOR;2005;380.0;cluster_1
NOR;2008;381.0;cluster_4
NOR;2009;382.0;cluster_1
NOR;2011;383.0;cluster_4
NOR;2010;384.0;cluster_4
CZE;2002;385.0;cluster_4
CZE;2003;386.0;cluster_4
CZE;2000;387.0;cluster_4
CZE;2001;388.0;cluster_4
CZE;2006;389.0;cluster_4
CZE;2007;390.0;cluster_4
CZE;2004;391.0;cluster_4
CZE;2005;392.0;cluster_4
CZE;2008;393.0;cluster_4
CZE;2009;394.0;cluster_1
CZE;2011;395.0;cluster_1
CZE;2010;396.0;cluster_4
